metadata_participant_id,metadata_timestamp,metadata_pattern_type,metadata_interface_id,score_inefficient_efficient,score_interesting_not_interesting,score_clear_confusing,score_enjoyable_annoying,score_organized_cluttered,score_addictive_non_addictive,score_supportive_obstructive,score_pressuring_suggesting,score_boring_exciting,score_revealed_covert,score_complicated_easy,score_unpredictable_predictable,score_friendly_unfriendly,score_deceptive_benevolent
P280,2025-04-07T14:38:04,Social Connector,interface_012,7,3,1,3,1,4,2,3,5,3,7,6,4,4
P282,2025-04-07T14:38:53,Nagging,interface_001,5,6,2,7,6,6,7,1,2,5,5,2,7,3
P282,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,3,2,5,7,1,7,7,2,6,1,5,6,7,5
P282,2025-04-07T14:38:59,Trick Wording,interface_007,3,2,1,7,2,6,7,3,3,7,3,6,7,3
P282,2025-04-07T14:38:00,Toying With Emotion,interface_008,6,2,1,7,1,3,7,1,3,1,1,3,7,1
P282,2025-04-07T14:38:06,Endlessness,interface_014,5,3,1,2,1,2,3,6,7,6,7,3,2,6
P289,2025-04-07T14:38:54,Overcomplicated Process,interface_002,5,4,4,5,4,4,3,4,3,5,3,5,5,3
P289,2025-04-07T14:38:00,Toying With Emotion,interface_008,3,4,5,4,4,5,3,5,5,5,4,3,3,4
P289,2025-04-07T14:38:01,Forced Access,interface_009,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P289,2025-04-07T14:38:06,Endlessness,interface_014,5,4,5,3,5,3,5,5,5,3,3,3,4,5
P289,2025-04-07T14:38:07,Pull To Refresh,interface_015,4,5,5,3,4,4,5,5,3,5,3,4,4,3
P291,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,4,3,4,5,4,1,4,1,4,4,3,3,5,3
P291,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,4,4,4,7,4,4,4,1,4,1,4,7,7,4
P291,2025-04-07T14:38:59,Trick Wording,interface_007,4,4,4,7,4,4,7,1,6,1,1,1,7,3
P291,2025-04-07T14:38:04,Social Connector,interface_012,7,4,4,7,4,4,1,1,5,2,5,5,6,4
P291,2025-04-07T14:38:05,Content Customization,interface_013,5,4,4,4,4,3,3,1,4,4,4,4,7,4
P292,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,5,2,3,3,5,6,2,6,5,5,5,6,3,6
P292,2025-04-07T14:38:03,Social Pressure,interface_011,6,3,3,3,3,2,5,3,5,3,6,6,4,5
P293,2025-04-07T14:38:53,Nagging,interface_001,4,6,2,7,3,7,7,1,3,2,7,7,7,3
P293,2025-04-07T14:38:54,Overcomplicated Process,interface_002,5,3,2,3,2,4,3,5,4,2,6,6,3,5
P293,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,5,3,7,6,7,-1,7,3,5,6,1,2,6,1
P293,2025-04-07T14:38:58,False Hierarchy,interface_006,2,5,7,7,5,4,6,1,3,7,3,6,7,1
P293,2025-04-07T14:38:59,Trick Wording,interface_007,4,5,6,6,2,-1,7,1,4,3,5,3,7,2
P294,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,4,4,1,7,4,4,7,1,4,1,4,4,7,1
P294,2025-04-07T14:38:03,Social Pressure,interface_011,5,2,4,4,4,1,4,1,4,2,7,6,4,4
P294,2025-04-07T14:38:04,Social Connector,interface_012,5,4,7,4,7,3,2,6,4,2,5,5,3,3
P294,2025-04-07T14:38:06,Endlessness,interface_014,4,4,5,7,7,1,6,1,4,4,4,1,5,1
P295,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,5,4,1,4,4,4,4,4,4,1,4,7,4,5
P295,2025-04-07T14:38:01,Forced Access,interface_009,4,4,7,5,7,5,6,7,4,5,1,1,7,1
P295,2025-04-07T14:38:05,Content Customization,interface_013,6,2,2,3,4,2,2,4,6,2,4,4,4,4
P295,2025-04-07T14:38:07,Pull To Refresh,interface_015,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P297,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,7,-1,2,6,1,6,3,-1,2,2,5,2,6,1
P297,2025-04-07T14:38:02,Gamification,interface_010,7,3,1,3,-1,2,4,3,5,3,7,6,3,2
P298,2025-04-07T14:38:53,Nagging,interface_001,2,7,7,7,7,4,7,1,3,5,2,6,7,1
P298,2025-04-07T14:38:54,Overcomplicated Process,interface_002,7,3,7,6,7,6,2,1,2,2,1,2,6,3
P298,2025-04-07T14:38:58,False Hierarchy,interface_006,3,5,6,5,7,6,6,3,2,6,2,2,6,2
P298,2025-04-07T14:38:07,Pull To Refresh,interface_015,5,1,7,1,4,1,1,2,6,3,7,1,1,5
P299,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P299,2025-04-07T14:38:01,Forced Access,interface_009,4,4,4,4,4,1,4,4,4,5,3,4,4,1
P299,2025-04-07T14:38:03,Social Pressure,interface_011,1,7,7,4,4,7,4,3,3,7,7,5,5,3
P299,2025-04-07T14:38:05,Content Customization,interface_013,4,4,7,4,4,1,7,4,4,7,7,2,4,1
P299,2025-04-07T14:38:06,Endlessness,interface_014,4,5,3,4,4,4,4,5,4,5,4,4,2,4
P300,2025-04-07T14:38:53,Nagging,interface_001,4,6,2,4,3,3,6,1,2,1,6,6,4,4
P300,2025-04-07T14:38:54,Overcomplicated Process,interface_002,5,4,3,4,3,4,3,4,5,2,3,5,4,5
P300,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,4,4,3,5,4,4,5,4,3,3,3,5,4,3
P300,2025-04-07T14:38:59,Trick Wording,interface_007,4,3,2,4,3,4,4,4,5,2,3,2,4,4
P300,2025-04-07T14:38:01,Forced Access,interface_009,4,3,4,4,5,4,4,2,4,3,3,5,4,3
P304,2025-04-07T14:38:53,Nagging,interface_001,1,7,7,7,7,4,7,1,1,1,6,1,7,1
P304,2025-04-07T14:38:58,False Hierarchy,interface_006,4,7,4,4,1,4,4,6,1,2,7,6,4,4
P304,2025-04-07T14:38:01,Forced Access,interface_009,7,4,3,4,1,7,2,1,4,1,7,1,6,1
P304,2025-04-07T14:38:03,Social Pressure,interface_011,7,4,1,4,1,4,1,6,4,-1,7,7,4,6
P304,2025-04-07T14:38:05,Content Customization,interface_013,6,1,1,1,1,4,1,6,4,4,7,4,1,4
P308,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,5,4,3,4,4,6,5,3,-1,3,5,6,5,4
P308,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,3,4,4,5,5,4,5,3,4,4,4,4,5,2
P308,2025-04-07T14:38:59,Trick Wording,interface_007,4,4,5,5,4,4,6,4,4,6,3,4,6,3
P308,2025-04-07T14:38:02,Gamification,interface_010,2,4,-1,6,4,6,4,2,2,5,2,3,6,3
P308,2025-04-07T14:38:07,Pull To Refresh,interface_015,5,5,3,4,3,5,3,4,4,4,6,4,4,4
P312,2025-04-07T14:38:54,Overcomplicated Process,interface_002,4,4,4,4,4,4,4,5,4,4,4,4,4,4
P312,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,4,4,4,4,7,4,7,1,4,1,4,4,4,4
P312,2025-04-07T14:38:00,Toying With Emotion,interface_008,4,4,4,7,1,4,7,4,4,4,7,7,7,4
P312,2025-04-07T14:38:04,Social Connector,interface_012,4,4,4,4,4,4,4,4,4,4,4,4,5,4
P312,2025-04-07T14:38:06,Endlessness,interface_014,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P313,2025-04-07T14:38:04,Social Connector,interface_012,6,-1,1,4,2,3,3,3,-1,2,6,6,4,5
P313,2025-04-07T14:38:05,Content Customization,interface_013,6,2,4,4,3,2,3,3,5,3,4,5,4,4
P316,2025-04-07T14:38:54,Overcomplicated Process,interface_002,4,2,4,1,1,-1,7,4,3,4,7,4,5,1
P316,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,5,4,1,7,1,-1,7,1,-1,1,7,7,7,1
P316,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,4,2,3,2,3,7,2,4,4,4,5,4,1,4
P316,2025-04-07T14:38:59,Trick Wording,interface_007,4,1,1,7,1,4,7,1,4,1,-1,7,7,1
P316,2025-04-07T14:38:06,Endlessness,interface_014,6,2,2,3,3,4,2,-1,4,4,5,4,2,5
P317,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,1,2,2,7,3,3,7,1,4,4,1,1,7,2
P317,2025-04-07T14:38:58,False Hierarchy,interface_006,4,1,4,7,4,4,4,1,4,1,1,1,7,1
P317,2025-04-07T14:38:00,Toying With Emotion,interface_008,4,1,4,7,4,1,7,1,4,3,3,1,7,1
P317,2025-04-07T14:38:02,Gamification,interface_010,4,3,3,6,4,1,4,1,4,4,4,2,7,4
P317,2025-04-07T14:38:07,Pull To Refresh,interface_015,4,4,1,2,4,3,3,4,6,1,7,4,1,4
P319,2025-04-07T14:38:54,Overcomplicated Process,interface_002,1,4,7,3,7,4,5,4,4,5,1,4,4,4
P319,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,4,4,4,1,4,4,1,4,4,1,7,4,1,4
P319,2025-04-07T14:38:00,Toying With Emotion,interface_008,4,4,4,7,4,1,7,1,4,4,4,4,7,1
P319,2025-04-07T14:38:02,Gamification,interface_010,7,1,4,1,4,1,1,4,7,4,4,4,1,4
P319,2025-04-07T14:38:03,Social Pressure,interface_011,1,7,4,7,4,1,7,1,4,4,4,4,7,1
P321,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,-1,3,5,5,-1,3,2,3,4,4,2,3,5,4
P321,2025-04-07T14:38:59,Trick Wording,interface_007,2,5,5,5,6,-1,5,1,1,5,2,4,5,1
P321,2025-04-07T14:38:06,Endlessness,interface_014,6,3,2,2,2,6,-1,3,4,2,7,5,2,5
P322,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,6,-1,2,4,2,6,3,5,3,2,6,6,-1,3
P322,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,5,6,3,6,3,6,6,2,3,2,6,5,6,3
P322,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,3,6,5,6,6,6,6,2,-1,6,4,3,6,3
P322,2025-04-07T14:38:59,Trick Wording,interface_007,3,6,6,6,5,6,6,3,3,6,3,3,6,3
P323,2025-04-07T14:38:53,Nagging,interface_001,-1,3,6,3,6,1,7,1,5,5,3,6,5,2
P323,2025-04-07T14:38:03,Social Pressure,interface_011,5,5,1,3,1,1,6,1,7,7,7,7,5,1
P323,2025-04-07T14:38:04,Social Connector,interface_012,2,7,3,6,2,-1,4,1,-1,3,7,7,7,1
P323,2025-04-07T14:38:07,Pull To Refresh,interface_015,7,1,1,1,1,1,1,-1,4,1,7,7,1,7
P324,2025-04-07T14:38:54,Overcomplicated Process,interface_002,5,6,5,-1,3,-1,3,5,3,5,3,3,6,4
P324,2025-04-07T14:38:58,False Hierarchy,interface_006,6,6,3,4,2,6,4,-1,4,6,6,5,6,2
P324,2025-04-07T14:38:00,Toying With Emotion,interface_008,6,4,2,6,2,-1,6,2,-1,3,7,6,7,2
P324,2025-04-07T14:38:05,Content Customization,interface_013,6,4,2,4,5,5,4,2,3,2,6,6,4,4
P324,2025-04-07T14:38:06,Endlessness,interface_014,5,3,5,4,7,4,3,2,4,3,5,6,6,4
P327,2025-04-07T14:38:59,Trick Wording,interface_007,4,7,5,7,4,7,7,2,1,4,4,5,7,1
P327,2025-04-07T14:38:01,Forced Access,interface_009,4,5,5,5,4,4,6,2,4,2,2,4,6,2
P327,2025-04-07T14:38:03,Social Pressure,interface_011,5,7,4,7,4,2,6,1,2,4,5,6,6,3
P328,2025-04-07T14:38:54,Overcomplicated Process,interface_002,2,4,6,4,3,4,4,5,3,4,3,4,7,3
P328,2025-04-07T14:38:58,False Hierarchy,interface_006,2,2,5,7,3,3,2,1,4,2,3,4,7,1
P328,2025-04-07T14:38:00,Toying With Emotion,interface_008,3,7,3,6,3,4,4,1,2,4,4,3,7,2
P328,2025-04-07T14:38:04,Social Connector,interface_012,4,3,4,4,3,3,4,4,5,4,2,5,3,3
P328,2025-04-07T14:38:06,Endlessness,interface_014,4,3,3,5,2,6,4,4,5,4,3,4,2,4
P330,2025-04-07T14:38:54,Overcomplicated Process,interface_002,7,3,1,2,1,7,1,4,4,1,7,-1,1,7
P335,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,6,6,6,3,6,3,2,2,2,1,1,5,5,3
P335,2025-04-07T14:38:59,Trick Wording,interface_007,2,5,4,6,4,7,5,2,3,6,1,2,6,2
P335,2025-04-07T14:38:03,Social Pressure,interface_011,7,4,1,4,2,4,1,5,4,6,7,6,4,5
P335,2025-04-07T14:38:05,Content Customization,interface_013,7,1,6,1,6,4,1,6,7,1,7,6,1,7
P335,2025-04-07T14:38:07,Pull To Refresh,interface_015,5,2,6,3,4,1,4,2,6,3,3,1,4,4
P336,2025-04-07T14:38:53,Nagging,interface_001,6,5,2,6,2,7,6,1,2,2,3,4,4,2
P336,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,4,4,4,7,6,4,6,4,4,1,4,1,6,2
P336,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,6,6,1,5,1,6,3,5,2,2,6,2,5,4
P336,2025-04-07T14:38:58,False Hierarchy,interface_006,6,4,7,6,6,6,4,2,4,6,1,1,6,1
P336,2025-04-07T14:38:06,Endlessness,interface_014,7,1,3,2,3,1,4,2,7,4,6,1,3,3
P339,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,4,2,4,3,4,4,4,5,4,4,4,4,4,5
P339,2025-04-07T14:38:59,Trick Wording,interface_007,3,4,4,4,4,6,4,4,4,4,4,4,4,1
P339,2025-04-07T14:38:00,Toying With Emotion,interface_008,4,7,4,4,4,7,4,4,3,4,4,4,4,4
P339,2025-04-07T14:38:04,Social Connector,interface_012,4,4,4,4,4,5,4,4,4,4,5,4,4,4
P339,2025-04-07T14:38:05,Content Customization,interface_013,1,6,4,4,7,4,4,4,2,4,4,4,4,4
P341,2025-04-07T14:38:54,Overcomplicated Process,interface_002,4,5,4,5,5,3,5,3,2,2,5,2,5,2
P341,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,5,5,5,6,6,3,5,2,3,5,3,2,6,2
P341,2025-04-07T14:38:58,False Hierarchy,interface_006,4,6,4,6,6,5,6,2,3,3,5,3,6,2
P341,2025-04-07T14:38:03,Social Pressure,interface_011,3,6,3,5,5,4,6,3,2,3,5,5,5,4
P341,2025-04-07T14:38:07,Pull To Refresh,interface_015,3,5,5,6,5,3,6,3,4,3,3,3,6,4
P343,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,3,3,5,5,5,2,2,4,3,-1,3,4,4,5
P347,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,5,1,1,4,1,7,4,4,5,1,7,7,1,6
P347,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,3,2,5,6,5,6,2,6,5,2,2,7,5,1
P347,2025-04-07T14:38:00,Toying With Emotion,interface_008,7,7,4,7,1,-1,7,1,5,5,7,-1,7,1
P347,2025-04-07T14:38:03,Social Pressure,interface_011,-1,7,-1,7,1,7,7,1,1,7,7,3,7,1
P347,2025-04-07T14:38:07,Pull To Refresh,interface_015,7,1,1,6,1,4,1,4,4,1,7,5,4,7
P348,2025-04-07T14:38:01,Forced Access,interface_009,2,6,6,6,2,-1,7,3,-1,3,3,4,6,3
P348,2025-04-07T14:38:02,Gamification,interface_010,6,4,3,4,3,4,3,-1,5,-1,6,7,3,4
P348,2025-04-07T14:38:06,Endlessness,interface_014,5,3,3,4,3,2,4,6,5,3,6,3,4,4
P352,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,1,5,7,6,6,2,7,1,2,7,1,2,7,1
P352,2025-04-07T14:38:02,Gamification,interface_010,-1,2,1,2,2,1,3,2,5,1,6,7,-1,2
P354,2025-04-07T14:38:05,Content Customization,interface_013,-1,6,3,4,2,3,-1,3,2,4,6,5,4,3
P359,2025-04-07T14:38:54,Overcomplicated Process,interface_002,1,7,7,7,4,7,4,4,1,-1,1,4,7,4
P359,2025-04-07T14:38:03,Social Pressure,interface_011,7,4,1,7,4,1,4,1,1,1,7,7,4,4
P359,2025-04-07T14:38:05,Content Customization,interface_013,4,7,-1,4,1,4,4,7,4,7,7,4,1,4
P359,2025-04-07T14:38:07,Pull To Refresh,interface_015,4,4,1,4,4,7,4,4,1,4,7,7,1,4
P361,2025-04-07T14:38:06,Endlessness,interface_014,7,-1,1,7,1,1,6,2,-1,7,7,7,5,2
P363,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,1,1,7,7,7,1,7,7,7,-1,1,-1,7,1
P364,2025-04-07T14:38:53,Nagging,interface_001,2,7,6,7,7,7,7,1,4,7,1,2,7,1
P364,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,6,2,2,4,2,3,4,4,4,5,6,7,3,2
P364,2025-04-07T14:38:58,False Hierarchy,interface_006,4,3,7,7,4,4,4,1,5,7,5,4,7,1
P364,2025-04-07T14:38:59,Trick Wording,interface_007,2,7,4,7,3,4,7,1,4,7,2,1,7,1
P364,2025-04-07T14:38:01,Forced Access,interface_009,4,6,4,7,4,4,7,1,4,7,3,1,7,1
P368,2025-04-07T14:38:53,Nagging,interface_001,3,7,2,7,7,7,7,1,1,1,3,7,7,1
P368,2025-04-07T14:38:54,Overcomplicated Process,interface_002,5,2,3,3,3,7,2,5,4,2,6,5,1,5
P368,2025-04-07T14:38:58,False Hierarchy,interface_006,6,5,7,7,5,6,7,1,5,7,2,3,7,1
P368,2025-04-07T14:38:59,Trick Wording,interface_007,7,1,1,1,1,7,1,7,7,1,7,7,1,7
P368,2025-04-07T14:38:07,Pull To Refresh,interface_015,6,3,2,2,2,2,1,6,3,2,7,7,1,7
P374,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,4,4,1,7,2,7,1,2,4,1,7,7,7,1
P374,2025-04-07T14:38:59,Trick Wording,interface_007,4,4,5,4,4,4,4,3,4,5,3,5,5,2
P374,2025-04-07T14:38:02,Gamification,interface_010,4,4,3,4,5,1,4,1,4,5,-1,2,6,2
P374,2025-04-07T14:38:06,Endlessness,interface_014,4,3,4,4,6,2,4,4,5,4,5,3,4,3
P375,2025-04-07T14:38:53,Nagging,interface_001,4,4,4,4,4,3,3,3,4,4,4,4,4,4
P375,2025-04-07T14:38:54,Overcomplicated Process,interface_002,4,4,5,4,6,4,4,4,4,5,5,4,5,4
P375,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,4,4,5,4,6,4,4,3,4,4,4,4,5,4
P375,2025-04-07T14:38:01,Forced Access,interface_009,3,4,6,4,5,4,4,4,4,4,3,4,5,4
P375,2025-04-07T14:38:03,Social Pressure,interface_011,4,4,3,4,4,3,3,3,4,3,4,4,4,4
P377,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,7,4,5,5,6,4,7,5,5,5,6,6,4,5
P377,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,7,7,7,7,7,7,7,1,7,1,7,1,7,1
P377,2025-04-07T14:38:02,Gamification,interface_010,7,7,7,7,7,7,7,1,4,4,4,1,7,1
P377,2025-04-07T14:38:04,Social Connector,interface_012,7,6,6,7,4,4,7,1,4,4,4,1,7,1
P377,2025-04-07T14:38:07,Pull To Refresh,interface_015,5,5,5,5,5,2,4,5,5,2,5,5,2,5
P378,2025-04-07T14:38:54,Overcomplicated Process,interface_002,1,6,5,6,6,2,6,2,6,6,1,6,6,2
P378,2025-04-07T14:38:01,Forced Access,interface_009,5,7,5,6,6,4,6,2,1,5,4,5,7,4
P379,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,6,4,2,4,2,7,2,6,4,2,6,6,4,6
P379,2025-04-07T14:38:59,Trick Wording,interface_007,6,4,2,4,2,7,2,6,2,2,7,7,4,6
P379,2025-04-07T14:38:03,Social Pressure,interface_011,6,6,2,4,2,-1,4,3,2,2,7,2,6,3
P379,2025-04-07T14:38:05,Content Customization,interface_013,3,4,4,4,4,-1,4,4,4,2,4,6,4,4
P379,2025-04-07T14:38:06,Endlessness,interface_014,1,6,6,6,6,-1,6,2,2,4,2,-1,6,4
P381,2025-04-07T14:38:53,Nagging,interface_001,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P381,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P381,2025-04-07T14:38:01,Forced Access,interface_009,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P381,2025-04-07T14:38:03,Social Pressure,interface_011,6,4,1,4,1,2,6,2,4,4,4,4,4,1
P381,2025-04-07T14:38:04,Social Connector,interface_012,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P383,2025-04-07T14:38:54,Overcomplicated Process,interface_002,2,5,7,7,6,-1,7,3,4,6,1,2,6,2
P383,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,5,4,5,4,4,3,3,5,4,6,3,3,5,2
P383,2025-04-07T14:38:59,Trick Wording,interface_007,1,4,7,7,4,7,5,7,4,7,1,1,7,1
P383,2025-04-07T14:38:02,Gamification,interface_010,5,3,3,4,3,2,2,1,5,3,6,5,3,5
P383,2025-04-07T14:38:05,Content Customization,interface_013,6,4,1,-1,1,7,3,-1,4,6,7,3,2,2
P384,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,4,4,4,3,4,7,4,4,2,4,6,3,3,5
P384,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,2,7,7,7,7,7,6,1,3,2,2,6,6,2
P384,2025-04-07T14:38:58,False Hierarchy,interface_006,2,7,2,4,4,6,6,2,1,4,6,2,6,3
P384,2025-04-07T14:38:01,Forced Access,interface_009,1,7,4,7,2,5,7,1,1,4,7,4,7,1
P384,2025-04-07T14:38:03,Social Pressure,interface_011,3,7,3,5,1,7,4,1,1,3,5,4,7,4
P386,2025-04-07T14:38:00,Toying With Emotion,interface_008,1,7,3,7,3,7,7,1,4,3,5,7,7,1
P386,2025-04-07T14:38:02,Gamification,interface_010,1,7,4,7,3,7,6,1,1,3,-1,4,6,4
P386,2025-04-07T14:38:04,Social Connector,interface_012,-1,6,2,5,3,7,4,2,4,-1,7,3,7,4
