word,chi2,total_frequency,ueq_freq,ueeq_freq,raw_freq,ueq_pct,ueeq_pct,raw_pct,characteristic_condition,discrimination_score
business,43.63224263027975,104,16,23,65,16.145307769929364,20.60931899641577,64.61232604373758,RAW,1.9122304928547904
positive,45.329583415986036,78,47,31,0,47.42684157416751,27.777777777777775,0.0,UEQ,1.8919120387625794
clarity,26.75971533150204,48,17,31,0,17.154389505549947,27.777777777777775,0.0,UEEQ,1.8546475358702434
social,24.615148419370314,41,17,0,24,17.154389505549947,0.0,23.856858846918488,RAW,1.7451450374211221
more,53.37048751331009,90,38,0,52,38.34510595358224,0.0,51.68986083499006,RAW,1.7223262032085562
shows,21.124262478193828,42,17,25,0,17.154389505549947,22.40143369175627,0.0,UEEQ,1.6989736439070109
very,29.134609273183866,60,26,34,0,26.236125126135217,30.46594982078853,0.0,UEEQ,1.6118960293414129
which,15.211914098805753,82,19,20,43,19.17255297679112,17.921146953405017,42.74353876739563,RAW,1.6061504430019178
negative,41.20281547207601,85,37,48,0,37.33602421796166,43.01075268817205,0.0,UEEQ,1.6059419311276164
evaluation,21.664447872348553,45,20,25,0,20.181634712411707,22.40143369175627,0.0,UEEQ,1.5781930141203948
scores,46.65878852658817,97,48,49,0,48.43592330978809,43.90681003584229,0.0,UEQ,1.5735701626406338
clear,48.71759148992747,87,42,0,45,42.38143289606458,0.0,44.73161033797217,RAW,1.5404677190921967
too,22.958910586557394,48,22,26,0,22.199798183652877,23.297491039426525,0.0,UEEQ,1.5361898326642554
score,52.07197023880805,109,52,57,0,52.472250252270435,51.075268817204304,0.0,UEQ,1.520236816598119
because,14.999841532033763,147,53,68,26,53.48133198789102,60.93189964157706,25.84493041749503,UEEQ,1.3032802958270984
release,14.100573126444793,208,76,90,42,76.69021190716448,80.64516129032258,41.74950298210735,UEEQ,1.2152378850351135
experience,3.7618040500422185,106,37,44,25,37.33602421796166,39.42652329749104,24.85089463220676,UEEQ,1.1640149904635184
usability,1.2114457085990793,67,22,20,25,22.199798183652877,17.921146953405017,24.85089463220676,RAW,1.147461487336363
not,3.973700718964306,288,103,107,78,103.93541876892027,95.87813620071685,77.53479125248509,UEQ,1.124240546424755
